name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
*Chuck Finley '90,'02,,96,Angels,5,1-3,4-8,9-13,14-16,17-,18-19,-,20-24,-,25+,550,07,L,,Starter
**Jamey Wright,'02,,96,Brewers,3,1-3,4-6,7-13,14-15,16-17,18-19,-,20-21,-,22+,70,6,R,,Starter
Danys Baez,'03,,96,Indians,2,1-,2-5,6-11,12-16,17-,18-20,-,21-23,-,24+,210,5,R,R,Starter
Paul Wilson,'04,,96,Reds,2,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,50,6,R,,Starter
**Andy Pettitte,'04,,96,Astros,4,1-2,3-7,8-13,14-16,17-,18-20,-,21-23,-,24+,350,7,L,20,Starter
*Armando Reynoso,'01,,97,Diamondbacks,2,1-3,4-6,7-12,13-17,-,18-19,-,20-,-,-,310,6,R,,Starter
**Pedro Martinez,'02,,97,Red Sox,5,1-2,3-11,12-15,16-18,19-,20-25,-,-,-,26+,790,6,R,,Starter
*Jose Rijo '90,'02,,97,Reds,3,1-2,3-8,9-13,14-18,19-,20-26,-,-,-,27+,550,6,R,,Starter
Danys Baez,'04,,97,Indians,5,1-4,5-9,10-14,15-16,17-,18-19,-,20-23,-,24+,190,1,R,,Closer
*Lou Pote,'01,,98,Angels,3,1-2,3-7,8-14,15-17,-,18-20,-,-,-,-,200,1,R,,Reliever
*Danny Graves,'04,,98,Reds,5,1-2,3-7,8-12,13-17,18-,19-22,-,23-26,-,27+,240,1,R,,Closer
Cliff Lee,'05,,98,Indians,2,1-,2-6,7-11,12-16,17-,18-19,-,20-23,-,24+,110,5,L,R,Starter
**Jason Bere,'02,,98,Cubs,1,1-3,4-9,10-14,15-19,-,-,-,20-21,-,22+,250,6,R,,Starter
**Roger Clemens,'04,,98,Astros,5,1-,2-6,7-11,12-17,18-,19-20,-,21-24,-,25+,500,7,R,,Starter
**Damian Moss,'03,,99,Giants,3,1-3,4-6,7-12,13-16,17-18,19-,-,20-23,-,24+,320,5,L,,Starter
**Bartolo Colon,'04,,99,Angels,4,1-2,3-6,7-11,12-17,18-,19-20,-,21-22,-,23+,470,7,R,,Starter
*Tim Hudson,'00,,99,Athletics,5,6-8,1-5,9-13,14-15,16-17,18-19,-,20-,-,-,480,6,R,,Starter
**David Weathers,'05,,99,Reds,1,1-3,4-7,8-14,15-16,17-,18-21,-,22-23,-,24+,60,1,R,,Reliever
Danys Baez,'02,,99,Indians,4,1-4,5-11,12-15,16-18,19-,-,-,20-24,-,25+,180,1,R,,Reliever
**Urgueth Urbina,'02,,99,Red Sox,5,1-3,4-11,12-14,15-16,17-,18-19,-,20-21,-,22+,120,1,R,,Closer
Jason Boyd,'04,,100,Indians,4,1-3,4-6,7-13,14-15,16-17,18-19,-,20-25,-,26+,160,1,R,,Reliever
David Riske,'05,,100,Indians,2,1-3,4-8,9-13,14-16,17-,18-,-,19-23,-,24+,100,1,R,,Reliever
*Jason Isringhausen,'00,,100,Athletics,3,5-6,1-4,7-11,12-16,17-18,19-,-,20-,-,-,140,1,R,,Closer
Bob Howry,'00,,100,White Sox,5,7-8,1-6,9-11,12-15,16-18,19-20,-,-,-,-,180,1,R,,Closer
*Tom Glavine '91,'02,,100,Braves,2,1-4,5-10,11-15,16-19,-,20-25,-,-,-,26+,490,07,L,,Starter
**Russ Ortiz,'03,,100,Braves,3,1-4,5-7,8-14,15-16,17-,18-19,-,20-21,-,22+,320,6,R,,Starter
**Carl Pavano,'02,,100,Expos,1,1-4,5-9,10-14,15-17,-,18-21,-,-,-,22+,170,5,R,,Starter
*Esteban Loaiza,'03,,101,White Sox,5,1-,2-6,7-13,14-17,18-,19-22,-,23-24,-,25+,610,7,R,,Starter
**Mark Mulder,'05,,101,Cardinals,4,1-,2-5,6-14,15-17,18-,19-,-,20-24,-,25+,400,7,L,,Starter
*Mike Mussina '92,'02,,101,Orioles,5,1-2,3-5,6-10,11-16,-,17-19,-,20-26,-,27+,550,07,R,,Starter
C.C. Sabathia,'05,,101,Indians,3,1-2,3-,4-12,13-18,19-,20-23,-,24-26,-,27+,490,7,L,,Starter
**Kip Wells,'02,,101,Pirates,1,1-4,5-8,9-14,15-17,18-,19-,-,20-22,-,23+,10,6,R,,Starter
*Mike Magnante,'00,,101,Athletics,4,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-,130,1,L,,Reliever
Jim Parque,'01,,102,White Sox,5,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-,350,6,L,,Starter
**Javier Vazquez,'04,,102,Yankees,5,1-3,4-9,10-14,15-16,17-,18-19,-,20-23,-,24+,500,7,R,,Starter
**Tom Glavine,'03,,102,Mets,3,1-4,5-7,8-14,15-17,18-,19-,-,20-24,-,25+,330,7,L,,Starter
Bartolo Colon,'02,,102,Indians,4,1-3,4-8,9-13,14-16,17-,18-19,-,20-22,-,23+,280,07,R,,Starter
**Paul Abbott,'02,,102,Mariners,1,1-4,5-8,9-13,14-18,19-22,-,-,-,-,23+,260,6,R,,Starter
Jake Westbrook,'05,,103,Indians,4,1-,2-4,5-13,14-16,17-,18-19,-,20-24,-,25+,380,7,R,,Starter
**Esteban Loaiza,'04,,103,White Sox,5,1-2,3-9,10-15,16-17,18-,19-21,-,22-24,-,25+,590,8,R,20 K,Starter
C. C. Sabathia,'03,,103,Indians,3,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+,290,6,L,,Starter
*Brett Tomko,'01,,103,Mariners,2,1-3,4-7,8-13,14-17,18-,19-,-,20-,-,-,170,2,R,,Reliever
**Billy Wagner,'02,,103,Astros,5,1-3,4-11,12-15,16-17,18-,19-,-,20-24,-,25+,220,1,L,,Closer
*Robert Person,'00,,104,Phillies,0,8-9,1-7,10-13,14-18,19-,-,-,20-,-,-,100,6,R,,Starter
Bill Simas,'01,,104,White Sox,2,1-3,4-7,8-12,13-17,-,18-19,-,20-,-,-,90,1,R,,Reliever
**Brad Radke,'03,,104,Twins,4,1-,2-4,5-11,12-16,17-,18-19,-,20-24,-,25+,340,6,R,,Starter
**Erik Hiljus,'02,,104,Athletics,2,1-5,6-11,12-13,14-18,-,19-23,-,-,-,24+,350,6,R,,Starter
**Brandon Duckworth,'02,,105,Phillies,3,1-2,3-5,6-12,13-16,17-18,19-23,-,-,-,24+,300,07,R,,Starter
*Kevin Appier,'03,,105,Angels,1,1-4,5-7,8-12,13-15,16-,17-18,-,19-24,-,25+,10,5,R,,Starter
Jim Parque,'00,,105,White Sox,0,5-7,1-4,8-13,14-18,19-,20-,-,-,-,-,160,6,L,,Starter
Bill Simas,'00,,106,White Sox,3,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-,100,1,R,,Reliever
Mike Sirotka,'01,,106,White Sox,2,1-3,4-7,8-14,15-17,18-,19-20,-,-,-,-,390,6,L,,Starter
*Jason Christiansen,'00,,106,Pirates,3,7-8,1-6,9-14,15-17,18-19,-,-,20-,-,-,130,1,L,,Reliever
**Jeff Nelson,'05,,106,Mariners,1,1-4,5-9,10-15,16-,17-18,19-22,-,23-24,-,25+,90,1,R,,Reliever
*Jesse Orosco,'03,,106,Mets,5,1-6,7-11,12-17,-,18-,19-21,-,22-23,-,24+,240,1,L,,Closer
Ricardo Rincon,'02,,106,Indians,3,1-3,4-9,10-15,16-18,19-,20-26,-,-,-,27+,170,1,L,,Reliever
Shawn Chacon,'05,,106,Rockies,1,1-2,3-6,7-10,11-14,15-16,17-18,-,19-22,-,23+,10,1,R,,Closer
**Jose Contreras,'03,,106,Yankees,4,1-,2-8,9-12,13-16,17-,18-,-,19-23,-,24+,350,6,R,R,Starter
**Ruben Quevedo,'02,,106,Brewers,5,1-5,6-9,10-11,12-15,16-17,18-19,-,20-22,-,23+,290,6,R,,Starter
*Randy Johnson '95,'02,,107,Mariners,5,1-2,3-11,12-14,15-16,17-19,20-27,-,-,-,28+,520,6,L,,Starter
*Andy Ashby,'01,,107,Dodgers,2,1-2,3-5,6-13,14-17,-,18-19,-,20-,-,-,340,6,R,,Starter
*Pat Hentgen,'03,,107,Blue Jays,4,1-,2-5,6-11,12-16,17-,18-19,-,20-23,-,24+,350,8,R,CY 20,Starter
C.C. Sabathia,'02,,107,Indians,1,1-4,5-11,12-14,15-19,20-23,-,-,-,-,24+,340,5,L,,Starter
**Jimmy Anderson,'02,,107,Pirates,5,1-2,3-4,5-13,14-15,16-,17-19,-,20-25,-,26+,320,6,L,,Starter
*Tom Glavine,'04,,107,Mets,5,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+,430,6,L,,Starter
**Josh Beckett,'03,,107,Marlins,4,1-2,3-8,9-13,14-16,17-,18-19,-,20-22,-,23+,370,6,R,R,Starter
Bob Wickman,'03,,107,Indians,2,1-2,3-7,8-14,15-16,17-,18-19,-,20-24,-,25+,90,1,R,,Reliever
**Troy Percival,'05,,107,Tigers,4,1-2,3-6,7-11,12-17,18-,19-21,-,22-23,-,24+,210,1,R,,Closer
Terry Mulholland,'04,,108,Indians,2,1-2,3-4,5-12,13-16,17-,18-19,-,20-23,-,24+,80,2,L,,Reliever
*Francisco Cordova,'00,,108,Pirates,4,5-6,1-4,7-11,12-15,16-,17-19,-,20-,-,-,330,6,R,,Starter
**Johan Santana,'03,,108,Twins,3,1-2,3-8,9-13,14-17,18-,19-22,-,23-24,-,25+,220,2,L,R,Reliever
Mike Sirotka,'00,,108,White Sox,5,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-,490,07,L,,Starter
Paul Shuey,'02,,108,Indians,5,1-,2-9,10-14,15-16,17-,18-19,-,20-26,-,27+,110,1,R,,Reliever
**Brian Lawrence,'05,,108,Padres,2,1-2,3-5,6-13,14-16,17-,18-19,-,20-23,-,24+,120,6,R,,Starter
**Bobby Jones,'02,,108,Padres,5,1-3,4-6,7-11,12-15,-,16-18,-,19-,-,20+,20,6,R,,Starter
*David Cone,'03,,109,Royals,5,1-4,5-8,9-14,15-16,17-,18-19,-,20-22,-,23+,430,7,R,CY,Starter
C. C. Sabathia,'04,,109,Indians,3,1-2,3-6,7-12,13-15,16-17,18-19,-,20-24,-,25+,270,7,L,,Starter
Mike Hampton,'03,,109,Rockies,1,1-3,4-5,6-13,14-15,16-,17-19,-,20-22,-,23+,10,6,L,,Starter
**Livan Hernandez,'02,,109,Giants,4,1-2,3-5,6-11,12-15,16-,17-19,-,20-23,-,24+,150,07,R,,Starter
Jason Jennings,'05,,109,Rockies,1,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+,10,6,R,,Starter
*John Smoltz '96,'02,,109,Braves,4,1-3,4-10,11-14,15-17,-,18-19,-,20-24,-,25+,420,07,R,,Starter
Kelly Wunsch,'01,,109,White Sox,4,1-,2-6,7-14,15-16,17-18,19-20,-,-,-,-,230,1,L,,Reliever
**Curtis Leskanic,'02,,110,Brewers,3,1-3,4-9,10-14,15-17,18-,19-,-,20-22,-,23+,50,1,R,,Reliever
**Odalis Perez,'05,,110,Dodgers,4,1-,2-5,6-13,14-17,18-,19-,-,20-23,-,24+,380,6,L,,Starter
**Tom Glavine,'04,,110,Braves,4,1-,2-5,6-12,13-17,18-,19-,-,20-24,-,25+,420,7,L,20 CY,Starter
*Ben Sheets,'04,,110,Brewers,5,1-2,3-6,7-13,14-16,17-,18-20,-,21-23,-,24+,480,7,R,,Starter
*Julian Tavarez,'01,,111,Cubs,6,1-2,3-4,5-12,13-14,15-16,17-19,-,20-,-,-,500,07,R,,Starter
**John Franco,'05,,111,Astros,2,1-,2-5,6-13,14-16,17-,18-19,-,20-23,-,24+,100,1,L,,Reliever
Jose Jimenez,'03,,111,Rockies,4,1-,2-4,5-14,15-17,-,18-19,-,20-22,-,23+,170,1,R,,Closer
Bob Wickman,'02,,111,Indians,5,1-2,3-8,9-15,16-17,-,18-26,-,-,-,27+,250,1,R,,Closer
**Tom Gordon,'02,,111,Cubs,4,1-2,3-11,12-15,16-18,19-,20-24,-,-,-,25+,260,1,R,,Closer
Danny Graves,'01,,112,Reds,5,1-2,3-5,6-12,13-15,16-17,18-19,-,20-,-,-,200,1,R,,Closer
**Doug Brocail,'05,,112,Rangers,2,1-,2-5,6-13,14-15,16-17,18-19,-,20-26,-,27+,110,1,R,,Reliever
Steve Reed,'05,,112,Rockies,2,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+,90,1,R,,Reliever
**Jeff Austin,'02,,112,Royals,4,1-3,4-6,7-12,13-15,16-17,18-19,-,-,-,20+,10,1,R,,Reliever
*Joey Hamilton,'01,,112,Blue Jays,3,1-4,5-6,7-12,13-16,17-,18-19,-,20-,-,-,280,5,R,,Starter
Denny Neagle,'03,,112,Rockies,3,1-5,6-8,9-14,15-16,17-,18-19,-,20-,-,21+,260,5,L,,Starter
**Mike Mussina,'04,,112,Orioles,5,1-2,3-7,8-14,15-17,18-,19-21,-,22-23,-,24+,630,7,R,,Starter
*Greg Maddux,'03,,112,Cubs,5,1-,2-5,6-13,14-16,17-,18-19,-,20-23,-,24+,580,8,R,CY 20,Starter
Shawn Chacon,'04,,112,Rockies,3,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+,260,6,R,,Starter
*Pedro Martinez '97,'02,,112,Expos,6,1-2,3-11,12-14,15-17,18-,19-24,-,-,-,25+,830,07,R,,Starter
Shawn Chacon,'02,,112,Rockies,1,1-4,5-9,10-14,15-17,18-19,-,-,20-,-,21+,10,6,R,,Starter
**Omar Daal,'03,,113,Orioles,4,1-,2-5,6-11,12-16,17-,18-19,-,20-23,-,24+,380,7,L,,Starter
*Curt Schilling,'04,,113,Red Sox,5,1-,2-7,8-12,13-17,18-,19-,-,20-22,-,23+,550,7,R,,Starter
**Joel Pineiro,'02,,113,Mariners,3,1-4,5-9,10-14,15-19,20-28,-,-,-,-,29+,620,6,R,,Starter
*Kevin Brown,'03,,113,Marlins,6,1-4,5-14,15-16,17-,18-20,-,21-22,-,23+,,640,7,R,,Starter
*Matt Clement,'00,,113,Padres,0,6-7,1-5,8-14,15-18,19-,20-,-,-,-,-,170,6,R,,Starter
Danny Graves,'00,,114,Reds,4,5-6,1-4,7-13,14-16,17-18,19-20,-,-,-,-,180,1,R,,Closer
Pete Harnisch,'01,,114,Reds,5,1-3,4-6,7-11,12-15,16-,17-18,-,19-20,-,-,380,6,R,,Starter
**Chad Bradford,'02,,114,Athletics,1,1-,2-7,8-18,19-,-,20-,-,-,-,21+,90,1,R,,Reliever
*Carl Pavano,'04,,114,Devil Rays,5,1-3,4-7,8-13,14-17,-,18-19,-,20-25,-,26+,560,7,R,,Starter
**David Wells,'03,,114,Yankees,4,1-2,3-6,7-12,13-16,17-,18-19,-,20-,-,21+,360,7,L,,Starter
Mike Hampton,'02,,114,Rockies,3,1-2,3-5,6-12,13-15,16-,17-19,-,20-,-,21+,30,6,L,,Starter
**Greg Maddux,'04,,114,Braves,6,1-2,3-7,8-15,16-17,-,18-19,-,20-23,-,24+,670,7,R,CY,Starter
**Jason Marquis,'05,,115,Cardinals,2,1-2,3-6,7-14,15-16,17-,18-19,-,20-23,-,24+,130,6,R,,Starter
**Roger Clemens,'04,,115,Blue Jays,5,1-2,3-8,9-15,16-17,18-,19-22,-,23-25,-,26+,700,8,R,20 CY K,Starter
**Woody Williams,'02,,115,Cardinals,3,1-4,5-8,9-13,14-17,-,18-19,-,20-,-,21+,280,6,R,,Starter
Darren Oliver,'04,,115,Rockies,2,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+,50,5,L,,Starter
*Curt Schilling '98,'02,,115,Phillies,5,1-2,3-10,11-13,14-15,16-,17-19,-,20-23,-,24+,390,08,R,,Starter
**Wade Miller,'03,,115,Astros,4,1-5,6-11,12-16,17-,18-19,-,20-21,-,22+,,390,7,R,,Starter
Pete Harnisch,'00,,115,Reds,4,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-,450,6,R,,Starter
**Rollie Fingers,'04,,116,Brewers,5,1-2,3-10,11-14,15-16,17-18,19-20,-,21-26,-,27+,330,2,R,V CY RP,Reliever
**Victor Zambrano,'02,,116,Devil Rays,3,1-2,3-9,10-14,15-18,19-,-,-,20-23,-,24+,110,1,R,,Reliever
*Mike Stanton,'01,,116,Yankees,4,1-3,4-9,10-13,14-16,17-,18-19,-,20-,-,-,160,1,L,,Reliever
Mike Maroth,'05,,116,Tigers,2,1-3,4-11,12-16,17-,18-19,-,20-24,-,25+,,160,7,L,,Starter
**Bartolo Colon,'03,,116,White Sox,4,1-,2-5,6-12,13-16,17-18,19-,-,20-21,-,22+,420,7,R,20,Starter
Justin Speier,'04,,117,Rockies,3,1-,2-6,7-11,12-16,17-,18-19,-,20-23,-,24+,110,1,R,,Closer
**Jose Mesa,'02,,117,Phillies,4,1-3,4-8,9-13,14-17,18-,19-26,-,-,-,27+,170,1,R,,Closer
Steve Parris,'01,,117,Reds,5,1-3,4-6,7-11,12-14,15-,16-18,-,19-20,-,-,240,6,R,,Starter
*Ray King,'01,,117,Brewers,3,1-3,4-7,8-14,15-17,18-19,20-,-,-,-,-,210,1,L,,Reliever
*Hoyt Wilhelm,'03,,118,Dodgers,6,1-2,3-8,9-14,15-17,18-,19-20,-,21-27,-,28+,350,2,R,RP,Reliever
Scott Sullivan,'00,,118,Reds,6,5-7,1-4,8-10,11-15,16-17,18-19,-,20-,-,-,150,1,R,,Reliever
Juan Acevedo,'03,,118,Tigers,4,1-2,3-5,6-12,13-15,16-17,18-19,-,20-25,-,26+,130,1,R,,Reliever
**Roy Halladay,'02,,118,Blue Jays,5,1-2,3-7,8-15,16-17,-,18-19,-,20-28,-,29+,560,07,R,,Starter
*Whitey Ford,'04,,118,Yankees,6,1-3,4-10,11-14,15-16,17-,18-19,-,20-23,-,24+,600,8,L,CY 20 K,Starter
**Roy Oswalt,'03,,119,Astros,4,1-2,3-7,8-13,14-16,17-,18-19,-,20-23,-,24+,400,7,R,,Starter
*Jim Palmer,'04,,119,Orioles,6,1-2,3-9,10-13,14-16,17-18,19-20,-,21-23,-,24+,610,8,R,CY 20,Starter
Nate Robertson,'05,,119,Tigers,3,1-2,3-6,7-13,14-15,16-17,18-19,-,20-23,-,24+,230,6,L,,Starter
**Livan Hernandez,'05,,119,Nationals,4,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+,290,7,R,,Starter
**Steve Karsay,'02,,119,Yankees,4,1-,2-7,8-15,14-18,-,19-26,-,-,-,27+,230,1,R,,Reliever
*Livan Hernandez,'00,,119,Giants,4,5-7,1-4,8-11,12-15,16-,17-19,-,20-,-,-,370,07,R,,Starter
Scott Sullivan,'01,,120,Reds,4,1-4,5-9,10-13,14-16,17-,18-19,-,20-,-,-,160,1,R,,Reliever
Brett Tomko,'00,,120,Reds,5,5-6,1-4,7-10,11-15,16-,17-,-,18-19,-,20+,230,6,R,,Starter
**Orlando Hernandez,'03,,120,Expos,5,1-4,5-8,9-13,14-16,17-,18-19,-,20-23,-,24+,430,6,R,,Starter
**Zack Greinke,'05,,120,Royals,5,1-,2-5,6-10,11-16,17-,18-,-,19-22,-,23+,400,6,R,R,Starter
**Hideo Nomo,'02,,120,Dodgers,1,1-4,5-12,13-17,18-19,20-21,-,-,-,-,22+,330,6,R,,Starter
*Matt Morris,'01,,120,Cardinals,5,1-3,4-6,7-12,13-15,16-,17-19,-,20-,-,-,410,5,R,,Starter
*Kevin Appier,'01,,121,Mets,3,1-4,5-8,9-13,14-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
Jeremy Bonderman,'04,,121,Tigers,1,1-,2-5,6-12,13-16,-,17-19,-,20-23,-,24+,10,5,R,,Starter
Matt Anderson,'02,,121,Tigers,3,1-4,5-10,11-14,15-18,-,19-,-,20-26,-,27+,120,1,R,,Closer
*Trevor Hoffman '98,'02,,121,Padres,6,1-3,4-10,11-12,13-17,18-,19-27,-,-,-,28+,350,1,L,,Closer
*Joe Nathan,'00,,121,Giants,3,5-7,1-4,8-13,14-16,17-,18-19,-,-,-,20+,190,5,R,,Starter
**Chris Hammond,'05,,121,Padres,3,1-,2-4,5-11,12-16,17-,18-19,-,20-25,-,26+,120,1,L,,Reliever
**Jeff Farnsworth,'02,,121,Tigers,3,1-3,4-11,12-15,16-18,19-,20-24,-,-,-,25+,160,1,R,,Reliever
**Kent Mercker,'05,,122,Reds,4,1-3,4-8,9-13,14-15,16-17,18-19,-,20-25,-,26+,180,1,L,,Reliever
**Dave Weathers,'02,,122,Mets,4,1-3,4-7,8-13,14-17,18-,19-27,-,-,-,28+,120,1,R,,Reliever
Ugueth Urbina,'05,,122,Tigers,3,1-4,5-10,11-14,15-17,18-19,20-21,-,22-23,-,24+,170,1,R,,Closer
*Frank Castillo,'01,,122,Red Sox,3,1-4,5-9,10-13,14-17,18-,19-,-,20-,-,-,420,6,R,,Starter
**Bob Gibson,'04,,122,Cardinals,5,1-2,3-10,11-14,15-16,17-19,20-22,-,23-28,-,29+,610,9,R,V CY,Starter
**Tim Wakefield,'03,,122,Red Sox,5,1-4,5-8,9-14,15-16,17-,18-19,-,20-21,-,22+,440,5,R,,Starter
**Ryan Drese,'05,,123,Rangers,2,1-3,4-12,13-16,17-,18-19,-,20-25,-,26+,,110,6,R,,Starter
Ron Villone,'01,,123,Reds,0,1-4,5-7,8-13,14-17,18-19,-,-,20-,-,-,10,6,R,,Starter
**Sean Lowe,'02,,123,Pirates,4,1-3,4-6,7-13,14-17,-,18-19,-,20-22,-,23+,120,2,R,,Reliever
Ron Villone,'00,,123,Reds,3,5-8,1-4,9-12,13-16,17-18,19-,-,20-,-,-,340,6,L,,Starter
**Mike Myers,'02,,124,Diamondbacks,3,1-3,4-9,10-15,16-17,18-,19-27,-,-,-,28+,90,1,L,,Reliever
*Gil Meche,'00,,124,Mariners,4,4-,1-3,5-10,11-15,16-18,19-,-,20-,-,-,380,6,R,,Starter
Esteban Yan,'05,,124,Tigers,2,1-4,5-11,12-15,16-,17-19,-,20-25,-,26+,,60,1,R,,Reliever
Scott Williamson,'00,,124,Reds,3,9-,1-8,10-13,14-18,19-20,-,-,-,-,-,190,1,R,,Closer
*Tom Seaver,'04,,124,Mets,6,1-2,3-10,11-13,14-16,17-,18-21,-,22-23,-,24+,630,7,R,CY 20,Starter
**Warren Spahn,'04,,124,Braves,6,1-3,4-9,10-15,16-17,18-,19-20,-,21-22,-,23+,650,9,L,CY,Starter
Mark Redman,'03,,124,Tigers,3,1-,2-3,4-10,11-16,17-,18-19,-,20-24,-,25+,300,07,L,,Starter
**Pedro Martinez,'05,,124,Mets,5,1-3,4-9,10-14,15-16,17-,18-20,-,21-23,-,24+,460,7,R,,Starter
**Woody Williams,'03,,124,Cardinals,5,1-,2-5,6-11,12-16,17-,18-21,-,22-23,-,24+,450,6,R,,Starter
**Jason Schmidt,'02,,125,Giants,4,1-4,5-10,11-14,15-18,19-,-,20-26,-,27+,,140,6,R,,Starter
*John Smoltz,'01,,125,Braves,3,1-2,3-7,8-13,14-17,-,18-19,-,20-,-,-,440,6,R,,Starter
*Bob Feller,'04,,125,Indians,6,1-,2-9,10-12,13-16,17-,18-20,-,21-25,-,26+,660,8,R,K 20,Starter
*Nolan Ryan,'03,,125,Astros,5,1-,2-10,11-,12-16,17-19,20-,-,21-,-,22+,730,8,R,K 20,Starter
Wilfredo Ledezma,'04,,125,Tigers,1,1-2,3-5,6-10,11-16,17-,18-19,-,20-23,-,24+,40,2,L,R,Reliever
Chris Mears,'04,,126,Tigers,1,1-,2-4,5-12,13-16,17-,18-19,-,20-24,-,25+,10,1,R,,Reliever
**Mike Williams,'02,,126,Pirates,5,1-,2-6,7-13,14-15,16-17,18-,-,19-23,-,24+,20,1,R,,Closer
*Ben Weber,'01,,126,Angels,2,1-3,4-7,8-13,14-17,-,18-19,-,20-,-,-,100,1,R,,Reliever
*Arthur Rhodes,'00,,126,Mariners,3,7-,1-6,8-11,12-16,17-19,-,-,-,-,20+,180,2,L,,Reliever
**Randy Wolf,'03,,126,Phillies,5,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+,500,7,L,,Starter
Steve Sparks,'03,,126,Tigers,1,1-3,4-6,7-13,14-16,17-,18-19,-,20-22,-,23+,30,6,R,,Starter
Josh Beckett,'05,,126,Marlins,4,1-,2-6,7-12,13-16,17-,18-19,-,20-24,-,25+,390,6,R,,Starter
**Terry Adams,'02,,127,Phillies,4,1-2,3-7,8-13,14-16,17-,18-26,-,-,-,27+,450,07,R,,Starter
**Kevin Millwood,'03,,127,Phillies,5,1-2,3-6,7-12,13-15,16-17,18-19,-,20-23,-,24+,470,6,R,,Starter
Armando Benitez,'05,,127,Marlins,6,1-3,4-8,9-12,13-17,18-19,20-22,-,23-24,-,25+,310,1,R,RP,Closer
Jason Bere,'01,,127,Indians,1,1-3,4-8,9-14,15-17,18-,19-20,-,-,-,-,170,5,R,,Starter
*Aaron Sele,'00,,127,Mariners,3,7-8,1-6,9-13,14-16,17-,18-19,-,20-,-,-,380,07,R,,Starter
Dave Burba,'01,,128,Indians,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-,-,-,340,6,R,,Starter
Dave Burba,'00,,128,Indians,3,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-,370,07,R,,Starter
A. J. Burnett,'03,,128,Marlins,4,1-2,3-7,8-13,14-16,17-,18-20,-,21-24,-,25+,480,07,R,,Starter
**Chan Ho Park,'02,,128,Rangers,2,1-4,5-10,11-14,15-18,19-24,-,-,-,-,25+,400,07,R,,Starter
*Travis Harper,'01,,128,Devil Rays,4,1-8,9-10,11-13,14-15,16-,17-19,-,20-,-,-,300,6,R,,Starter
**Derek Lowe,'05,,129,Dodgers,1,1-,2-4,5-13,14-16,17-,18-19,-,20-25,-,26+,30,6,R,,Starter
Steve Sparks,'02,,129,Tigers,4,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+,320,07,R,,Starter
Bartolo Colon,'01,,129,Indians,2,1-3,4-10,11-15,16-17,18-19,20-,-,-,-,-,360,6,R,,Starter
**Jeff D'Amico,'02,,129,Mets,4,1-4,5-6,7-11,12-15,-,16-17,-,18-19,-,20+,10,5,R,,Starter
*Pat Hentgen,'00,,129,Cardinals,3,4-6,1-3,7-11,12-16,17-,18-19,-,-,-,20+,170,5,R,,Starter
Bartolo Colon,'01,,129,Indians,2,1-3,4-10,11-15,16-17,18-19,20-,-,-,-,-,360,6,R,,Starter
Bartolo Colon,'00,,129,Indians,3,5-7,1-4,8-13,14-17,18-,19-,-,20-,-,-,440,6,R,,Starter
*Darryl Kile,'00,,130,Cardinals,3,5-,1-4,6-11,12-15,16-17,18-19,-,20-,-,-,230,6,R,,Starter
Jeff Weaver,'02,,130,Tigers,1,1-5,6-9,10-15,16-19,-,20-25,-,-,-,26+,330,07,R,,Starter
**Kevin Appier,'02,,130,Angels,1,1-4,5-9,10-15,16-19,20-21,-,-,-,-,22+,340,6,R,,Starter
**Glendon Rusch,'02,,131,Brewers,4,1-3,4-7,8-10,11-15,-,16-19,-,20-,-,21+,150,5,L,,Starter
Antonio Alfonseca,'02,,131,Marlins,2,1-2,3-6,7-15,16-18,-,19-24,-,-,-,25+,100,1,R,,Closer
Chuck Finley,'01,,131,Indians,2,1-2,3-7,8-14,15-17,18-,19-20,-,-,-,-,390,6,R,,Starter
**Kazuhiro Sasaki '00,'03,,132,Mariners,5,1-3,4-10,11-14,15-16,17-18,19-,-,20-22,-,23+,210,1,R,RY,Closer
Mike Jackson,'00,,132,Indians,6,5-7,1-4,8-12,13-15,16-17,18-20,-,-,-,-,200,1,R,,Closer
*Dave Veres,'00,,132,Cardinals,5,6-7,1-5,8-11,12-15,16-17,18-20,-,-,-,-,170,1,R,,Closer
